intstarttime,vcimsi,intenbid,intscrsrp,intpci,intnc1rsrp,intnc2rsrp,intnc3rsrp,intnc4rsrp,intnc5rsrp,intnc6rsrp,intnc7rsrp,intnc8rsrp,intmr_ta,intmr_uetranspowermargin,flong,flat
1584677238000 ,451957028,342736,60,106,8,9,7,6,6,6,6,6,1,36,113.302665,23.122615
1584677243000 ,111176048,342736,43,104,36,40,29,43,34,\N,\N,\N,0,25,113.378608,23.124118
1584677243000 ,6476065,342736,29,105,27,24,15,19,18,28,26,26,1,41,113.378303,23.124814
1584677264000 ,159324660,342736,49,105,41,45,38,28,27,46,39,34,1,38,113.378669,23.12503
1584677274000 ,443037164,342736,52,106,\N,\N,\N,\N,\N,\N,\N,\N,0,37,113.302665,23.122615
1584677248000 ,451957028,342736,57,106,\N,\N,\N,\N,\N,\N,\N,\N,1,32,113.302665,23.122615
1584677234000 ,486661197,207955,47,80,44,42,44,44,39,29,28,20,0,38,113.381652,23.124193
1584677234000 ,145791704,207955,43,78,28,27,21,38,34,19,\N,\N,0,25,113.38182,23.124279
1584677270000 ,414189480,207955,58,80,40,25,24,23,10,28,37,29,0,38,113.381027,23.124546
1584677193000 ,502335910,207955,40,81,29,32,29,26,26,35,29,27,0,26,113.387878,23.125823
1584677238000 ,486661197,207955,49,80,48,35,44,30,23,21,\N,\N,\N,\N,113.381652,23.124193
1584677235000 ,145791704,207955,43,78,28,27,25,38,34,31,17,\N,\N,\N,113.38182,23.124279
1584676945000 ,5368080,690441,51,284,50,48,55,25,25,41,52,48,0,32,113.376243,23.12387
1584676945000 ,8235765,690441,51,284,42,38,42,39,38,39,25,41,0,63,113.375839,23.123409
1584676994000 ,13972649,171842,63,204,54,52,50,52,56,50,49,48,0,63,113.379959,23.119934
1584676991000 ,18190519,171842,78,204,46,45,43,40,49,68,69,\N,\N,\N,113.379013,23.119815
1584676994000 ,54342248,171842,58,204,46,46,58,52,51,\N,\N,\N,1,63,113.380683,23.119783
1584676994000 ,58948554,171842,42,204,32,26,19,35,34,31,30,\N,0,63,113.378906,23.119739
1584676992000 ,272932195,171842,76,204,65,50,48,47,44,76,67,36,\N,\N,113.37931,23.120094
1584676994000 ,373117126,171842,52,204,47,41,29,46,43,42,40,38,2,63,113.380729,23.119472
1584676994000 ,392113974,171842,65,204,48,64,52,34,\N,\N,\N,\N,0,63,113.37944,23.119922
1584676994000 ,395904607,171842,62,204,49,48,12,41,52,\N,\N,\N,0,63,113.379592,23.119998
1584676994000 ,400652422,171842,57,204,\N,\N,\N,\N,\N,\N,\N,\N,0,61,113.379959,23.119558
1584676994000 ,491775618,171842,67,204,61,47,58,57,53,53,\N,\N,0,63,113.379783,23.119998
1584676857000 ,174631444,690441,52,92,38,32,17,45,50,49,53,39,2,63,113.376205,23.124515
1584676857000 ,182320306,690441,65,92,68,55,78,54,54,62,\N,\N,0,63,113.375946,23.12532
1584676857000 ,276920197,690441,53,92,49,54,52,43,48,25,20,\N,3,63,113.376182,23.1243
1584676857000 ,384544606,690441,62,92,60,64,61,61,36,67,59,60,1,63,113.376098,23.125545
1584676858000 ,8235765,690441,51,284,48,42,39,44,35,37,24,41,0,43,113.375839,23.123409
1584676867000 ,174631444,690441,52,92,39,25,32,16,45,49,32,52,2,63,113.376205,23.124504
1584676867000 ,214645315,690441,36,92,21,34,31,36,35,25,25,19,3,57,113.377166,23.125104
1584676867000 ,276920197,690441,52,92,51,47,45,58,46,48,44,23,3,63,113.376159,23.12432
1584676954000 ,174631444,690441,54,92,45,34,19,55,54,49,54,52,1,63,113.376182,23.124633
1584676954000 ,182320306,690441,70,92,69,69,66,25,19,19,77,66,0,63,113.375946,23.125288
1584676954000 ,214645315,690441,36,92,20,33,35,34,28,23,20,\N,3,58,113.377166,23.125104
1584676867000 ,183589955,690441,60,92,58,59,51,46,\N,\N,\N,\N,1,63,113.376159,23.125545
1584676867000 ,235165223,690441,60,92,61,60,56,56,31,21,\N,\N,1,63,113.376098,23.125137
1584676954000 ,210092919,690441,73,91,72,63,\N,\N,\N,\N,\N,\N,1,63,113.376136,23.125211
1584676955000 ,8235765,690441,50,284,44,38,43,41,37,38,23,41,0,63,113.375839,23.123409
1584676955000 ,377730788,690441,45,92,\N,\N,\N,\N,\N,\N,\N,\N,3,57,113.375991,23.122293
1584676954000 ,455260057,690441,59,92,64,59,54,43,41,36,55,77,1,63,113.37545,23.125297
1584676858000 ,183589955,690441,60,92,\N,\N,\N,\N,\N,\N,\N,\N,1,63,113.376159,23.125545
1584676856000 ,235165223,690441,67,92,59,59,40,60,43,31,\N,\N,2,63,113.376075,23.125631
1584677230000 ,8609393,171842,60,65,59,54,49,46,48,40,30,29,0,63,113.37886,23.119934
1584677230000 ,34603802,171842,65,65,55,47,54,44,45,44,39,57,0,63,113.378906,23.119869
1584677230000 ,5550980,171842,57,139,33,31,45,39,34,29,23,\N,0,63,113.378669,23.120029
1584677230000 ,38646312,171842,60,139,52,32,23,41,31,33,44,41,0,49,113.37519,23.120973
1584677230000 ,48859183,171842,65,139,55,45,47,44,47,39,42,30,0,63,113.378089,23.120416
1584676959000 ,377730788,690441,42,92,38,33,33,31,42,40,39,37,4,63,113.375991,23.122079
1584676959000 ,455260057,690441,54,92,\N,\N,\N,\N,\N,\N,\N,\N,1,63,113.375175,23.125276
1584676959000 ,174631444,690441,54,92,46,35,18,55,53,50,52,51,1,63,113.376182,23.124633
1584676959000 ,182320306,690441,69,92,67,61,68,64,25,21,20,77,0,63,113.375946,23.125288
1584677071000 ,51869648,171842,65,65,53,50,\N,\N,\N,\N,\N,\N,0,63,113.378952,23.11989
1584677017000 ,290950176,690441,63,284,53,47,46,41,30,28,20,32,0,63,113.376029,23.123453
1584677017000 ,295418196,690441,69,284,50,47,43,42,44,26,25,33,0,63,113.376052,23.123399
1584677021000 ,301280811,690441,50,91,49,45,25,\N,\N,\N,\N,\N,1,63,113.376075,23.125587
1584676933000 ,129757684,690441,53,92,14,24,15,51,49,44,\N,\N,2,63,113.376113,23.125555
1584676933000 ,235165223,690441,44,92,56,52,49,42,45,22,\N,\N,6,63,113.375923,23.121606
1584676933000 ,455260057,690441,70,92,75,68,31,27,70,62,\N,\N,1,63,113.376052,23.125373
1584677015000 ,129757684,690441,58,92,12,26,20,17,55,47,47,\N,2,63,113.376136,23.125545
1584677015000 ,216536145,690441,47,92,58,40,39,44,42,31,46,44,2,63,113.376136,23.124107
1584677015000 ,455260057,690441,65,92,68,63,60,59,31,23,64,\N,1,63,113.37532,23.125223
1584677235000 ,44399462,171842,56,65,42,39,34,27,29,77,\N,\N,1,63,113.378051,23.120073
1584677235000 ,277701033,171842,56,204,51,42,38,50,46,55,49,48,1,63,113.380256,23.119869
1584676948000 ,455260057,690441,63,92,60,60,47,36,27,24,54,74,1,63,113.375663,23.125288
